TexpAbs,TexpErr,WexpAbs,WexpErr
1191.8,1.1,14.14,0.02
1287.1,1.1,19.81,0.03
1397.6,1.1,24.78,0.03
1505.9,1.1,30.25,0.04
1614.2,1.1,38.69,0.04
1722.5,1.1,50.12,0.11
1830.8,1.1,65.35,0.13
1939.1,1.1,86.12,0.14
2047.4,1.1,109.48,0.16
2155.7,1.1,148.85,0.18
2264.0,1.1,179.8,0.2
